"occurrenceStatus.2";"geometry.2";"pred.2"
1;c(8.974888, 62.149286);0,819
1;c(16.334768, 68.005006);0,842
1;c(10.01803, 59.720466);0,376
1;c(9.601086, 61.014185);0,675
1;c(8.864009, 61.519174);0,804
1;c(15.596505, 67.475396);0,853
1;c(9.724119, 61.533568);0,687
1;c(9.00783, 61.637292);0,684
1;c(9.103195, 61.676983);0,686
1;c(10.10849, 61.277351);0,499
1;c(12.318211, 66.370032);0,531
1;c(8.049139, 61.64225);0,873
1;c(10.135197, 61.090496);0,675
1;c(9.062456, 61.683861);0,68
1;c(18.035287, 69.600824);0,803
1;c(9.133342, 61.690904);0,68
1;c(14.255096, 66.834266);0,857
1;c(15.539929, 67.35202);0,85
1;c(10.296993, 61.115482);0,483
1;c(9.95893, 61.170565);0,738
1;c(9.548633, 60.917009);0,601
1;c(8.944678, 61.602535);0,685
1;c(18.56682, 70.048378);0,531
1;c(9.026721, 61.011734);0,488
1;c(11.450933, 63.629032);0,746
1;c(8.844471, 61.488436);0,807
1;c(9.075338, 61.75978);0,724
1;c(9.107282, 61.780427);0,717
1;c(10.094063, 61.300305);0,588
1;c(10.137452, 61.289458);0,438
1;c(9.117164, 61.859773);0,669
1;c(16.5541, 68.528841);0,874
1;c(9.689866, 61.363086);0,671
1;c(11.761112, 62.68717);0,712
1;c(14.588532, 66.987537);0,859
1;c(13.883355, 66.938625);0,828
1;c(14.203263, 66.772309);0,856
1;c(9.080755, 61.827273);0,724
1;c(10.078478, 61.103999);0,782
1;c(7.679167, 61.527453);0,609
1;c(22.239466, 70.63823);0,764
1;c(9.022041, 61.716828);0,713
1;c(14.468221, 67.143269);0,841
1;c(5.882168, 58.777441);0,64
1;c(8.100387, 62.322033);0,816
1;c(9.57075, 59.537949);0,619
1;c(8.855502, 61.527963);0,804
1;c(16.457585, 68.541684);0,854
1;c(10.288872, 62.790001);0,817
1;c(10.543589, 63.431229);0,531
1;c(13.252244, 66.615484);0,823
1;c(8.612463, 59.570773);0,595
1;c(16.689081, 68.365427);0,871
1;c(14.637068, 67.42182);0,531
1;c(13.79286, 63.41806);0,516
1;c(14.029, 62.50478);0,668
1;c(14.90743, 58.29428);0,382
1;c(17.54038, 60.63181);0,488
1;c(17.59762, 60.63411);0,531
1;c(17.52212, 60.53845);0,54
1;c(10.2305, 62.1729);0,746
1;c(17.42813, 60.57126);0,532
1;c(18.81806, 60.10649);0,326
1;c(18.75506, 59.9925);0,339
1;c(18.79665, 59.93294);0,337
1;c(18.48464, 59.62964);0,29
1;c(18.86409, 59.90228);0,336
1;c(18.01312, 59.65167);0,35
1;c(16.51928, 60.43158);0,691
1;c(14.6987, 58.17049);0,366
1;c(16.94212, 58.48876);0,322
1;c(18.34442, 59.55813);0,312
1;c(18.34659, 59.58683);0,308
1;c(17.64981, 59.57065);0,424
1;c(14.56778, 57.66621);0,385
1;c(14.57814, 57.65733);0,385
1;c(15.04158, 57.84505);0,364
1;c(14.33558, 57.89631);0,379
1;c(14.72969, 57.63087);0,316
1;c(14.54564, 57.62828);0,385
1;c(16.11216, 57.60635);0,431
1;c(14.94045, 57.84889);0,405
1;c(15.41676, 57.56213);0,442
1;c(14.65334, 57.9795);0,346
1;c(16.12915, 57.35175);0,439
1;c(14.99613, 57.91929);0,375
1;c(14.65438, 57.68319);0,354
1;c(15.56185, 57.602);0,518
1;c(16.15304, 57.50658);0,435
1;c(14.7774, 58.07395);0,352
1;c(14.55958, 57.90499);0,39
1;c(14.28505, 57.81489);0,403
1;c(16.10084, 57.65307);0,402
1;c(15.96506, 57.62818);0,435
1;c(14.21915, 57.70632);0,473
1;c(14.64212, 57.85638);0,466
1;c(16.08455, 57.49508);0,441
1;c(15.21639, 57.4509);0,374
1;c(14.4084, 57.49662);0,29
1;c(15.41939, 57.62858);0,459
1;c(14.59954, 57.87035);0,468
1;c(14.38715, 57.87175);0,435
1;c(14.76787, 57.5836);0,35
1;c(15.56375, 57.56788);0,514
1;c(16.0688, 57.62441);0,456
1;c(14.73048, 58.0565);0,332
1;c(15.02339, 57.59622);0,398
1;c(14.58284, 57.56758);0,339
1;c(14.04438, 57.85039);0,309
1;c(15.33077, 57.62199);0,429
1;c(15.53702, 57.33975);0,423
1;c(16.23058, 57.5041);0,425
1;c(14.10233, 57.83591);0,31
1;c(16.33727, 57.55712);0,416
1;c(14.49174, 57.82259);0,442
1;c(14.46196, 57.80881);0,442
1;c(14.30273, 57.79445);0,412
1;c(14.506, 57.7069);0,389
1;c(14.47078, 57.88882);0,365
1;c(15.77077, 57.75397);0,473
1;c(16.37762, 57.30597);0,427
1;c(16.14435, 57.82985);0,398
1;c(15.98341, 57.61648);0,452
1;c(16.4933, 58.12294);0,43
1;c(15.93024, 57.72608);0,455
1;c(15.95872, 57.71438);0,445
1;c(16.1004, 57.39178);0,441
1;c(16.08371, 57.38374);0,441
1;c(14.53599, 57.66499);0,438
1;c(15.11831, 57.70632);0,387
1;c(14.79432, 58.07498);0,347
1;c(14.46448, 57.78639);0,43
1;c(14.51589, 57.66479);0,438
1;c(14.7182, 57.62359);0,357
1;c(14.62038, 58.00524);0,345
1;c(14.9878, 57.84023);0,391
1;c(15.45553, 57.69962);0,447
1;c(14.88473, 57.78834);0,366
1;c(15.62095, 57.49255);0,477
1;c(16.3022, 57.80329);0,433
1;c(14.72327, 57.95857);0,387
1;c(15.97483, 57.5698);0,487
1;c(16.30756, 57.82571);0,433
1;c(16.44278, 58.14475);0,47
1;c(14.29125, 57.82754);0,403
1;c(15.74183, 57.02754);0,395
1;c(16.10345, 57.768);0,418
1;c(14.3421, 57.81915);0,42
1;c(16.15731, 57.77774);0,403
1;c(14.61713, 56.92312);0,314
1;c(14.40212, 57.22534);0,269
1;c(14.36766, 57.3875);0,325
1;c(14.07849, 57.55989);0,349
1;c(14.37934, 57.47205);0,29
1;c(14.15198, 56.96902);0,292
1;c(15.80109, 57.19996);0,407
1;c(15.61418, 57.19173);0,421
1;c(14.52917, 57.02239);0,296
1;c(15.77318, 56.9611);0,385
1;c(13.82496, 56.93373);0,268
1;c(15.7466, 57.13709);0,422
1;c(14.86342, 56.53366);0,329
1;c(14.08294, 57.67759);0,342
1;c(15.08668, 57.18533);0,314
1;c(13.71006, 57.45731);0,257
1;c(13.92342, 57.48852);0,262
1;c(14.91973, 57.25071);0,365
