"occurrenceStatus";"geometry";"pred"
1;c(14.59951, 63.3694);0,255
1;c(14.41688, 63.25386);0,386
1;c(13.80208, 63.56706);0,716
1;c(13.9186, 63.49352);0,521
1;c(14.31727, 63.28981);0,357
1;c(13.98248, 63.49619);0,793
1;c(13.7788, 63.56683);0,711
1;c(15.08116, 62.97566);0,401
1;c(15.23367, 63.49942);0,689
1;c(14.32336, 62.90825);0,817
1;c(14.49942, 62.96222);0,714
1;c(17.93323, 63.63653);0,663
1;c(11.75089, 57.64747);0,45
1;c(11.656926, 59.816658);0,775
1;c(15.35303, 57.05917);0,554
1;c(17.80489, 62.54085);0,266
1;c(18.49103, 59.63067);0,036
1;c(18.13827, 59.77582);0,44
1;c(12.33059, 58.76263);0,278
1;c(15.83683, 62.57054);0,71
1;c(14.87095, 59.93621);0,492
1;c(18.74643, 59.93786);0,278
1;c(14.10593, 58.41807);0,2
1;c(15.06703, 58.56598);0,351
1;c(14.727, 58.16365);0,085
1;c(14.70469, 58.11796);0,149
1;c(17.01802, 62.66001);0,581
1;c(15.74754, 60.14016);0,439
1;c(15.95896, 60.12972);0,721
1;c(11.6145, 57.76623);0,47
1;c(13.52219, 58.17248);0,453
1;c(13.42539, 58.59764);0,121
1;c(15.67714, 57.04027);0,593
1;c(13.42795, 58.57304);0,154
1;c(12.61545, 56.79116);1
1;c(14.46494, 57.78602);0,472
1;c(15.5969, 62.59134);0,554
1;c(15.82277, 62.42539);0,42
1;c(15.47537, 58.28631);0,201
1;c(15.52724, 62.80033);0,563
1;c(15.84043, 62.56275);0,71
1;c(16.30878, 62.29174);0,601
1;c(15.95702, 58.0543);0,171
1;c(15.22142, 58.10514);0,367
1;c(15.65777, 58.84419);0,325
1;c(17.73509, 60.10063);0,179
1;c(14.37203, 62.47886);0,72
1;c(13.72704, 57.8305);0,247
1;c(15.42626, 58.20111);0,281
1;c(15.40269, 58.8295);0,323
1;c(16.07523, 60.47412);0,655
1;c(15.6523, 59.59562);0,637
1;c(15.098308, 68.992519);0,997
1;c(14.560209, 67.171241);1
1;c(14.479136, 67.173095);0,997
1;c(16.543293, 68.718666);1
1;c(14.611439, 66.988492);1
1;c(13.166275, 68.099196);1
1;c(13.932295, 66.759955);1
1;c(14.706921, 67.200082);1
1;c(16.17184, 68.314698);1
1;c(14.852745, 66.775129);0,999
1;c(13.681306, 66.687934);1
1;c(12.095339, 65.39285);0,998
1;c(13.64338, 63.31922);0,53
1;c(12.72631, 60.56663);0,713
1;c(16.863686, 68.744284);1
1;c(11.668307, 59.974532);0,756
1;c(15.8067, 57.87731);0,102
1;c(11.658, 62.588);0,993
1;c(11.4571, 62.6753);0,968
1;c(16.09997, 61.11225);0,798
1;c(16.51839, 60.43133);0,717
1;c(12.7081, 56.44991);0,416
1;c(11.4846, 58.26265);1
1;c(17.99288, 59.65153);0,225
1;c(11.0789, 58.83741);1
1;c(18.81806, 60.10649);0,149
1;c(18.26244, 59.78131);0,169
1;c(18.23565, 59.73702);0,271
1;c(18.25979, 59.73972);0,132
1;c(18.95576, 59.81358);0,465
1;c(18.80601, 60.02851);0,424
1;c(17.94742, 59.66127);0,21
1;c(18.44062, 60.04546);0,729
1;c(11.18101, 58.74692);0,784
1;c(14.45023, 57.90168);0,207
1;c(14.92519, 57.83602);0,164
1;c(14.57912, 57.65772);0,349
1;c(14.61595, 57.92482);0,333
1;c(15.02195, 58.02324);0,268
1;c(11.22346, 58.64882);0,337
1;c(15.43386, 58.19633);0,281
1;c(15.2813, 58.22146);0,171
1;c(15.02421, 57.59612);0,208
1;c(14.72422, 57.95885);0,171
1;c(17.05108, 60.49926);0,274
1;c(14.55558, 63.27253);0,279
1;c(16.91755, 62.20142);0,694
1;c(16.04165, 58.4316);0,148
1;c(15.91371, 60.13039);0,598
1;c(15.64, 61.9187);0,533
1;c(15.24243, 58.73682);0,272
1;c(17.02723, 59.15927);0,151
1;c(12.83705, 57.39333);0,416
1;c(12.66618, 56.45381);0,41
1;c(16.09613, 61.38597);0,673
1;c(16.78007, 58.51936);0,139
1;c(15.40534, 60.35195);0,704
1;c(17.91723, 59.64473);0,21
1;c(17.9246, 59.66229);0,21
1;c(13.95691, 63.36392);0,663
1;c(18.13969, 59.957);0,393
1;c(17.38486, 59.98335);0,204
1;c(17.9383, 60.42278);0,332
1;c(17.35969, 60.60223);0,96
1;c(17.98635, 60.33306);0,192
1;c(18.43374, 60.12434);0,117
1;c(18.3161, 59.89005);0,432
1;c(18.04988, 60.48629);0,378
1;c(18.40367, 60.20198);0,219
1;c(18.19335, 59.96009);0,349
1;c(16.73597, 59.3174);0,255
1;c(14.51732, 58.61562);0,12
1;c(13.59292, 58.04787);0,141
1;c(16.90434, 59.26705);0,199
1;c(18.51162, 59.75521);0,024
1;c(15.44223, 58.87978);0,319
1;c(14.96213, 58.24202);0,323
1;c(15.22871, 58.1087);0,367
1;c(15.24534, 58.10376);0,367
1;c(15.63752, 58.88833);0,417
1;c(15.66283, 58.91968);0,537
1;c(15.00699, 59.54618);0,702
1;c(15.000948, 67.789583);0,998
1;c(14.969638, 67.785706);0,998
1;c(14.986038, 67.78795);0,998
1;c(12.756225, 66.229701);1
1;c(12.789704, 66.289395);1
1;c(12.787066, 66.281612);1
1;c(12.688526, 66.024782);0,998
1;c(13.59454, 58.53074);0,286
1;c(14.70649, 63.1041);0,463
1;c(17.58044, 60.5742);0,617
1;c(13.05425, 63.21717);0,811
1;c(17.59138, 60.57469);0,341
1;c(17.60342, 60.56644);0,341
1;c(17.63158, 60.55592);1
